miRNA	GSM1439481	GSM1439482	GSM1439483	GSM1439484	GSM1439485	GSM1439486	GSM1439487	GSM1439488	GSM1439489	GSM1439490	GSM1439491	GSM1439492	GSM1439493	GSM1439494	GSM1439495	GSM1439496	GSM1439497	GSM1439498	GSM1439499	GSM1439500	GSM1439501	GSM1439502	GSM1439503	GSM1439504
hsa-mir-505-5p	18.03	0	2.01	0	0	0	0	0	8.28	0	0	0	0	0	0	0	0	0	0	2.55	0	10.74	0	0
hsa-mir-506-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-506-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-508-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05	0	0	0	0	0	0	0	0	0	0
hsa-mir-508-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5088-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5088-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5089-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5089-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-509-1-3p	0	1.29	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0	0.85	0	0	0	0
hsa-mir-509-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-509-2-3p	0	1.29	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0	0.85	0	0	0	0
hsa-mir-509-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-509-3-3p	0	1.29	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0	0.85	0	0	0	0
hsa-mir-509-3-5p	0	0	0	0	0	0	0	0	0	0	0	20.14	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	2.55	0	0	0	0
hsa-mir-5095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5096	0	7.75	6.04	0	0	0	19.68	75.64	24.85	7.05	0	40.28	9.82	28.37	31.78	60.19	0	17.79	42	0	37.2	0	0	11.35
hsa-mir-510-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-510-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5100	0	0	0	0	0	0	0	6.58	8.28	0	0	0	3.27	0	3.26	0	0	0	2.33	0	9.3	10.74	0	0
hsa-mir-511-3p	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0	0	0	0
hsa-mir-511-5p	0	3.87	4.02	0	0	0	22.71	0	0	3.53	0	0	0	0	17.11	100.32	0	8.89	0	22.93	9.3	0	0	0
hsa-mir-512-1-3p	0	0	0	1.37	0	0	0	0	0	0	0	5.04	1.64	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-512-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-512-2-3p	0	0	0	1.37	0	0	0	0	0	0	0	5.04	1.64	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-512-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-513a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-513a-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-513a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-513a-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-513b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-513b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-513c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-513c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-514a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-514a-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-514a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-514a-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-514a-3-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-514a-3-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-514b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-514b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-515-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-515-1-5p	0	0	0	0	0	7.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-515-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-515-2-5p	0	0	0	0	0	7.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-516a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-516a-1-5p	0	0	3.02	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0	1.17	0	0	0	0	0
hsa-mir-516a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-516a-2-5p	0	0	3.02	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0	1.17	0	0	0	0	0
hsa-mir-516b-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-516b-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-516b-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-516b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-517a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-517a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-517b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-517b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-517c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-517c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5187-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5187-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5189-3p	0	3.87	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0
hsa-mir-5189-5p	13.52	11.62	0	0	52.2	0	0	0	8.28	3.53	0	10.07	9.82	0	0	5.02	37.51	0	2.33	2.55	0	10.74	0	11.35
hsa-mir-518a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-518a-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0	0	0	0	0
hsa-mir-518a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-518a-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0	0	0	0	0
hsa-mir-518b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-518c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-518c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-518d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-518d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-518e-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-518e-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-518f-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-518f-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.67
hsa-mir-5194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5195-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5195-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5196-3p	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55	0	0	0	0
hsa-mir-5196-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5197-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5197-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-519a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-519a-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-519a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-519b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-519b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-519c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-519c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-519d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-519d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-519e-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-519e-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520f-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520f-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520g-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520g-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-520h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-521-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-521-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-522-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-522-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-523-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-523-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-524-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-524-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05	0	0	0	0	0	0	0	0	0	0
hsa-mir-525-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-525-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-526a-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-526a-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-526b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-526b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0
hsa-mir-527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0	0	0	0	0
hsa-mir-532-3p	27.05	7.75	20.12	27.47	86.99	47.92	10.6	49.33	49.69	31.74	11.47	20.14	16.37	40.53	23.63	40.13	0	17.79	25.67	33.13	18.6	10.74	0	5.67
hsa-mir-532-5p	302.04	550.12	388.4	387.39	556.76	495.16	299.73	295.99	306.44	320.92	252.41	191.34	189.92	275.62	109.99	391.25	187.57	160.1	123.67	145.25	167.4	204.11	236.31	238.31
hsa-mir-539-3p	4.51	38.74	10.06	16.48	0	15.97	4.54	0	0	3.53	0	0	6.55	0	0	10.03	0	8.89	0	10.19	9.3	0	0	11.35
hsa-mir-539-5p	0	3.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-541-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-541-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-542-3p	9.02	0	10.06	0	0	15.97	7.57	16.44	16.56	0	0	30.21	0	4.05	0.81	5.02	0	0	0	2.55	0	0	0	11.35
hsa-mir-542-5p	4.51	0	2.01	2.75	0	0	3.03	6.58	0	0	0	0	0	0	2.44	0	0	0	0	2.55	0	0	0	0
hsa-mir-543	4.51	0	2.01	2.75	0	15.97	0	0	0	0	0	0	3.27	0	1.63	10.03	0	0	4.67	12.74	0	0	0	11.35
hsa-mir-544a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-544b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-545-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.74	0	0
hsa-mir-545-5p	4.51	3.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33	0	9.3	0	0	0
hsa-mir-548a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0
hsa-mir-548a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0
hsa-mir-548a-3-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0
hsa-mir-548a-3-5p	0	3.87	0	0	17.4	0	0	0	0	0	0	0	0	4.05	0	0	0	0	0	0	0	0	0	0
hsa-mir-548aa-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548aa-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ab	0	0	0	0.39	0	2.28	0.38	0	8.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ac	0	0	2.01	0	0	0	4.54	6.58	0	3.53	0	0	3.27	4.05	0	5.02	0	0	0	0	0	0	0	0
hsa-mir-548ad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ae-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ae-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ag-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ag-2	0	2.58	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55	0	0	0	0
hsa-mir-548ah-3p	0	2.71	0	0	0	0	0.76	0	0	0	0	0	0	1.35	1.36	2.51	0	0	1.17	0	3.1	0	0	0
hsa-mir-548ah-5p	0	3.87	0	0	0	0	0	0	0	0	0	0	0	0	4.07	0	0	0	2.33	0	0	0	0	0
hsa-mir-548ai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22	0	0	0	1.17	0	0	0	0	0
hsa-mir-548aj-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548aj-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548aj-2-5p	8.57	5.81	7.92	4.7	5.22	6.39	5.37	9.79	4.14	6.11	5.86	7.05	1.67	7.75	1.98	4.51	7.5	2.87	1.66	1.78	1.96	4.83	0	1.7
hsa-mir-548ak	0	0	0	0	0	0	0.76	1.64	0	0	0	0	0	0	2.04	0	0	0	1.17	0	0	0	0	0
hsa-mir-548al	0	7.75	0	2.75	0	0	0	0	0	0	0	0	0	4.05	0	0	0	0	0	0	0	0	0	0
hsa-mir-548am-3p	0	0.77	0	0	0	0	0	0	0	0	0	0	0	1.35	0.54	0	0	0	0	0	3.1	0	0	0
hsa-mir-548am-5p	9.02	9.69	4.53	6.87	0	0	1.14	0.82	0	0	0	2.52	10.48	0	1.83	1.25	0	0	2.99	5.1	0	0	0	1.42
hsa-mir-548an	0.56	0	0	0	0	0	0.17	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ao-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ao-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ap-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ap-5p	4.51	1.94	2.01	1.37	0	0	0	1.64	0	0	0	0	0	0	4.48	0	0	0	4.67	0	0	0	0	0
hsa-mir-548aq-3p	0	0.77	0	0	0	0	6.81	0	0	0	0	0	0	4.05	1.9	0	0	0	0	0	0	5.37	0	0
hsa-mir-548aq-5p	0	0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ar-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ar-5p	8.57	5.81	7.24	4.4	5.22	6.39	4.69	9.43	4.14	4.94	4.59	7.05	1.31	7.3	1.51	4.51	7.5	0.89	1.4	1.78	0.93	4.83	0	1.7
hsa-mir-548as-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548as-5p	0	0	0	0	0	0	0.17	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548at-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548at-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05	0	0	0	0	0	0	0	0	0	0
hsa-mir-548au-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548au-5p	0	5.81	2.52	1.77	0	2.28	1.35	0.82	0	0	0	2.52	0	0	2.65	1.25	0	0	2.22	1.91	0	0	0	1.42
hsa-mir-548av-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548av-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548aw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ax	0	3.87	0	0	0	0	0.22	0	0	0	0	0	0	4.05	0	0	0	0	0	5.1	0	10.74	0	0
hsa-mir-548ay-3p	0	0	0	0	0	0	0	0	0	0	11.47	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ay-5p	1.47	2.07	1.88	3.6	0	8.14	0.86	0.66	0	0.88	0	0	0	0.81	0.81	0	0	0	1.71	0.51	1.86	4.3	0	0
hsa-mir-548az-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0	0	0	0	0	0
hsa-mir-548az-5p	0.56	0	0	0.39	0	2.28	0.38	0	0	0.88	0	0	0	0	0	0	0	0	0.47	0	0	0	0	0
hsa-mir-548b-3p	0	0	0	0	0	0	1.51	0	0	0	0	0	3.27	0	2.44	0	0	0	0	0	0	0	0	0
hsa-mir-548b-5p	4.51	0	2.01	3.21	0	2.66	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548c-3p	1.5	1.29	1.01	2.29	0	0	1.51	1.1	0	0	0	0	0	1.35	0.27	0	0	0	0	0.85	0	0	0	0
hsa-mir-548c-5p	0	1.94	4.53	4.12	0	0	1.14	0.82	0	0	0	2.52	0.65	0	1.83	1.25	0	0	2.99	5.1	0	0	0	1.42
hsa-mir-548d-1-3p	0	0	1.01	0	0	0	0	0	0	1.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548d-1-5p	1.47	4.65	5.9	3.6	0	8.14	3.88	0.66	0	0.88	0	0	0	0.81	0.81	0	0	0	1.71	3.06	1.86	4.3	0	0
hsa-mir-548d-2-3p	0	0	1.01	0	0	0	0	0	0	1.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548d-2-5p	1.47	4.65	3.89	3.6	0	8.14	0.86	0.66	0	0.88	0	0	0	0.81	0.81	0	0	0	1.71	3.06	1.86	4.3	0	0
hsa-mir-548e-3p	36.06	27.12	12.07	10.99	0	31.95	16.65	9.87	0	3.53	34.42	0	29.47	8.11	0.81	25.08	0	0	0	15.29	0	53.71	0	17.02
hsa-mir-548e-5p	0	3.87	8.05	0	0	31.95	12.11	16.44	16.56	7.05	11.47	0	9.82	8.11	9.37	5.02	0	0	2.33	15.29	27.9	21.49	0	22.7
hsa-mir-548f-1-3p	0.9	0.77	0	1.1	0	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548f-1-5p	8.57	5.04	7.92	4.7	5.22	6.39	5.37	9.25	4.14	6.11	5.86	7.05	1.67	7.75	1.58	4.51	7.5	2.87	1.66	1.78	1.96	2.15	0	1.7
hsa-mir-548f-2-3p	2.4	2.07	2.68	1.1	0	7.99	2.12	1.64	4.14	1.76	5.74	10.07	0	0	0.41	2.51	0	0	0	0.85	0	0	0	3.78
hsa-mir-548f-3-3p	2.4	2.07	2.68	1.1	0	7.99	2.12	1.64	4.14	1.76	5.74	10.07	0	0	0.41	2.51	0	0	0	0.85	0	0	0	3.78
